,time,open,high,low,close,tick_volume,spread,real_volume
0,2019-04-25 04:00:00,1.11521,1.11599,1.11445,1.1157,3995,3,0
1,2019-04-25 08:00:00,1.11569,1.1162,1.11343,1.11469,12725,3,0
2,2019-04-25 12:00:00,1.11469,1.11476,1.11173,1.11304,14919,8,0
3,2019-04-25 16:00:00,1.11303,1.11542,1.11293,1.11361,15854,8,0
4,2019-04-25 20:00:00,1.11361,1.11384,1.11266,1.11313,4947,8,0
5,2019-04-26 00:00:00,1.11322,1.11387,1.11237,1.1129,3939,3,0
6,2019-04-26 04:00:00,1.11291,1.11408,1.11266,1.11348,4623,4,0
7,2019-04-26 08:00:00,1.11348,1.1147,1.11292,1.11419,8617,8,0
8,2019-04-26 12:00:00,1.11419,1.11588,1.11105,1.11476,14607,8,0
9,2019-04-26 16:00:00,1.11476,1.11735,1.11419,1.11629,21073,3,0
10,2019-04-26 20:00:00,1.11629,1.11659,1.1142,1.1142,5335,8,0
11,2019-04-29 00:00:00,1.1139000000000001,1.1151200000000001,1.1139000000000001,1.11485,2672,2,0
12,2019-04-29 04:00:00,1.11485,1.11597,1.11446,1.1158,2148,4,0
13,2019-04-29 08:00:00,1.11581,1.11666,1.11555,1.11646,7127,8,0
14,2019-04-29 12:00:00,1.11645,1.11656,1.11453,1.11551,8302,2,0
15,2019-04-29 16:00:00,1.11549,1.11837,1.11484,1.11807,11151,8,0
16,2019-04-29 20:00:00,1.11807,1.11864,1.11763,1.11852,4578,5,0
17,2019-04-30 00:00:00,1.11841,1.11908,1.11814,1.11892,2094,2,0
18,2019-04-30 04:00:00,1.11893,1.11926,1.11787,1.11881,3549,3,0
19,2019-04-30 08:00:00,1.11881,1.12076,1.11753,1.12055,12209,8,0
20,2019-04-30 12:00:00,1.12055,1.12276,1.12037,1.12191,11650,8,0
21,2019-04-30 16:00:00,1.1219,1.12286,1.11972,1.12164,16982,8,0
22,2019-04-30 20:00:00,1.12163,1.12253,1.12129,1.1214,9086,4,0
23,2019-05-01 00:00:00,1.12148,1.12179,1.12103,1.12179,1900,3,0
24,2019-05-01 04:00:00,1.12181,1.12193,1.12134,1.1217,1571,2,0
25,2019-05-01 08:00:00,1.1217,1.12297,1.12138,1.12277,3689,3,0
26,2019-05-01 12:00:00,1.12277,1.12392,1.12214,1.1224,7520,8,0
27,2019-05-01 16:00:00,1.1224,1.12496,1.12229,1.12419,12453,8,0
28,2019-05-01 20:00:00,1.12419,1.12644,1.11867,1.11941,25428,4,0
29,2019-05-02 00:00:00,1.11942,1.1206,1.11933,1.12056,2758,3,0
30,2019-05-02 04:00:00,1.12056,1.12089,1.11996,1.12071,4316,3,0
